name,title,class,link
1_2_6_5,"Black Community Resources - SFU Black Caucus - Simon Fraser University 
(sfu.ca)",BIPOC Resources,https://www.sfu.ca/black-caucus/black-community-resources.html
1_2_6_7,International Student Advising and Programs - Simon Fraser University (sfu.ca),"Support and Resources for International 
Students",https://www.sfu.ca/students/isap.html
1_2_7_1,ADHD Workshop - Health & Counselling - Simon Fraser University (sfu.ca),Group Support,https://www.sfu.ca/students/health/support-resources/group-support/adhd-workshop.html
1_2_7_2,Better Boundaries - Health & Counselling - Simon Fraser University (sfu.ca),Group Support,https://www.sfu.ca/students/health/support-resources/group-support/better-boundaries.html
1_2_7_3,Climate Change Anxiety - Health & Counselling - Simon Fraser University (sfu.ca),Group Support,https://www.sfu.ca/students/health/support-resources/group-support/climate-anxiety.html
1_2_7_4,"Dialectical Behaviour Therapy - Health & Counselling - Simon Fraser University 
(sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/dialectical-behaviour-therapy.html
1_2_7_5,"Dissertation & Thesis Support Group - Health & Counselling - Simon Fraser 
University (sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/thesis-support.html
1_2_7_6,"Dungeons & Worry Dragons - Health & Counselling - Simon Fraser University 
(sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/dungeons-dragons-sfu.html
1_2_7_7,"Garden Therapy for Self-Care - Health & Counselling - Simon Fraser University
(sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/garden-therapy.html
1_2_7_8,"International Student Support Group - Health & Counselling - Simon Fraser 
University (sfu.ca)","Support and Resources for International 
Students",https://www.sfu.ca/students/health/support-resources/group-support/international-student-support-group.html
1_2_7_9,Mindfulness Meditation - Health & Counselling - Simon Fraser University (sfu.ca),Group Support,https://www.sfu.ca/students/health/support-resources/group-support/mindfulness-meditation-sfu.html
1_2_7_10,Nurturing Reslience - Health & Counselling - Simon Fraser University (sfu.ca),Group Support,https://www.sfu.ca/students/health/support-resources/group-support/nurturing-resilience.html
1_2_7_11,"Understanding Anxiety and Depression - Health & Counselling - Simon Fraser 
University (sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/understanding-anxiety.html
1_2_7_12,Understanding Trauma - Health & Counselling - Simon Fraser University (sfu.ca),Group Support,https://www.sfu.ca/students/health/support-resources/group-support/trauma-seminar.html
1_2_7_13,"2SLGBTQIA+ Questioning Group - Health & Counselling - Simon Fraser 
University (sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/2SLGBTQIA.html
1_2_7_14,"Healthy Gaming Workshop - Health & Counselling - Simon Fraser University
(sfu.ca)",Group Support,https://www.sfu.ca/students/health/support-resources/group-support/healthy-gaming.html
